DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/03/2022,39832198688,CASH ALTERNATIVES PURCHASE (MMDA1),0.9,MMDA1,,,0.00,,,,
01/03/2022,39832198676,CASH ALTERNATIVES PURCHASE,,,,,-0.90,,,,
01/03/2022,39847746372,Sold 1 TSLA Jan 28 2022 990.0 Put @ 19.1,1,TSLA Jan 28 2022 990.0 Put,19.10,0.65,1909.33,0.02,,,
01/03/2022,39847746491,Bought 1 TSLA Jan 21 2022 980.0 Put @ 9.4,1,TSLA Jan 21 2022 980.0 Put,9.40,0.65,-940.66,0.01,,,
01/03/2022,39847769062,Sold 5 DOCN Feb 18 2022 105.0 Put @ 29.2,5,DOCN Feb 18 2022 105.0 Put,29.20,3.25,14596.62,0.13,,,
01/03/2022,39847771352,Bought 5 DOCN Jan 21 2022 105.0 Put @ 28.5,5,DOCN Jan 21 2022 105.0 Put,28.50,3.25,-14253.30,0.05,,,
01/03/2022,39851339568,Sold 1 GLD Mar 18 2022 181.0 Call @ 0.91,1,GLD Mar 18 2022 181.0 Call,0.91,0.65,90.34,0.01,,,
01/03/2022,39851339581,Bought 1 GLD Jan 20 2023 171.0 Call @ 9.9,1,GLD Jan 20 2023 171.0 Call,9.90,0.65,-990.66,0.01,,,
01/04/2022,39863746858,CASH ALTERNATIVES REDEMPTION (MMDA1),588.33,MMDA1,,,0.00,,,,
01/04/2022,39863746853,CASH ALTERNATIVES REDEMPTION,,,,,588.33,,,,
01/04/2022,39883925824,Bought 5 DOCN Feb 18 2022 105.0 Put @ 34.47,5,DOCN Feb 18 2022 105.0 Put,34.47,3.25,-17238.30,0.05,,,
01/04/2022,39883832282,Bought 2 TSLA Jan 14 2022 1100.0 Call @ 80.6,2,TSLA Jan 14 2022 1100.0 Call,80.60,1.30,-16121.32,0.02,,,
01/04/2022,39883836305,Sold 2 TSLA Jan 21 2022 1100.0 Call @ 92.1,2,TSLA Jan 21 2022 1100.0 Call,92.10,1.30,18418.59,0.11,,,
01/04/2022,39883923886,Sold 1 TSLA Jan 21 2022 1010.0 Call @ 157.82,1,TSLA Jan 21 2022 1010.0 Call,157.82,0.65,15781.26,0.09,,,
01/04/2022,39883928090,Bought 1 TSLA Jan 14 2022 1010.0 Call @ 151.52,1,TSLA Jan 14 2022 1010.0 Call,151.52,0.65,-15152.66,0.01,,,
01/05/2022,39901975396,CASH ALTERNATIVES PURCHASE (MMDA1),38187.57,MMDA1,,,0.00,,,,
01/05/2022,39901975390,CASH ALTERNATIVES PURCHASE,,,,,-38187.57,,,,
01/05/2022,39918821525,Bought 2 TSLA Jan 21 2022 1100.0 Call @ 80,2,TSLA Jan 21 2022 1100.0 Call,80.00,1.30,-16001.32,0.02,,,
01/05/2022,39923332046,Bought 1 TSLA Jan 21 2022 1010.0 Call @ 100,1,TSLA Jan 21 2022 1010.0 Call,100.00,0.65,-10000.66,0.01,,,
01/06/2022,39931098080,CASH ALTERNATIVES REDEMPTION (MMDA1),26001.98,MMDA1,,,0.00,,,,
01/06/2022,39931098073,CASH ALTERNATIVES REDEMPTION,,,,,26001.98,,,,
01/18/2022,40139313198,Sold 2 TSLA Jan 21 2022 1100.0 Call @ 7.2,2,TSLA Jan 21 2022 1100.0 Call,7.20,1.30,1438.67,0.03,,,
01/18/2022,40139368924,Bought 10 KMI Jan 21 2022 17.0 Call @ 0.85,10,KMI Jan 21 2022 17.0 Call,0.85,6.50,-856.59,0.09,,,
01/18/2022,40139370522,Sold 10 KMI Feb 18 2022 17.0 Call @ 0.93,10,KMI Feb 18 2022 17.0 Call,0.93,6.50,923.39,0.11,,,
01/19/2022,40153512375,CASH ALTERNATIVES PURCHASE (MMDA1),1505.47,MMDA1,,,0.00,,,,
01/19/2022,40153512365,CASH ALTERNATIVES PURCHASE,,,,,-1505.47,,,,
01/20/2022,40193930002,Bought 2 TSLA Jan 21 2022 1100.0 Call @ 1.35,2,TSLA Jan 21 2022 1100.0 Call,1.35,1.30,-271.32,0.02,,,
01/21/2022,40207558350,CASH ALTERNATIVES REDEMPTION (MMDA1),271.32,MMDA1,,,0.00,,,,
01/21/2022,40207558349,CASH ALTERNATIVES REDEMPTION,,,,,271.32,,,,
01/26/2022,40329916779,Sold 1 TSLA Feb 4 2022 970.0 Put @ 81.3,1,TSLA Feb 4 2022 970.0 Put,81.30,0.65,8129.30,0.05,,,
01/26/2022,40329924281,Bought 1 TSLA Jan 28 2022 990.0 Put @ 78.9,1,TSLA Jan 28 2022 990.0 Put,78.90,0.65,-7890.66,0.01,,,
01/27/2022,40343409203,CASH ALTERNATIVES PURCHASE (MMDA1),2238.64,MMDA1,,,0.00,,,,
01/27/2022,40343409193,CASH ALTERNATIVES PURCHASE,,,,,-2238.64,,,,
01/31/2022,40416185057,Bought 5 KMI Feb 18 2022 17.0 Call @ 0.61,5,KMI Feb 18 2022 17.0 Call,0.61,6.50,-311.55,0.05,,,
01/31/2022,40416185071,Bought 5 KMI Feb 18 2022 17.0 Call @ 0.6,5,KMI Feb 18 2022 17.0 Call,0.60,0.00,-300.04,0.04,,,
01/31/2022,40416193213,Bought 1 GLD Mar 18 2022 181.0 Call @ 0.43,1,GLD Mar 18 2022 181.0 Call,0.43,0.65,-43.66,0.01,,,
01/31/2022,40428672065,CASH ALTERNATIVES INTEREST (MMDA1),0.17,MMDA1,,,0.00,,,,
01/31/2022,40442022231,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.89,,,,
02/01/2022,40454601595,CASH ALTERNATIVES REDEMPTION,,,,,654.36,,,,
02/01/2022,40454601606,CASH ALTERNATIVES REDEMPTION (MMDA1),654.36,MMDA1,,,0.00,,,,
02/01/2022,40472641189,Bought 1 TSLA Feb 4 2022 970.0 Put @ 61.9,1,TSLA Feb 4 2022 970.0 Put,61.90,0.65,-6190.66,0.01,,,
02/01/2022,40475750001,Sold 2 TSLA Feb 4 2022 1035.0 Call @ 2.83,2,TSLA Feb 4 2022 1035.0 Call,2.83,1.30,564.68,0.02,,,
02/01/2022,40475841318,Sold 1 TSLA Feb 4 2022 1020.0 Call @ 4,1,TSLA Feb 4 2022 1020.0 Call,4.00,0.65,399.34,0.01,,,
02/02/2022,40496184586,CASH ALTERNATIVES PURCHASE,,,,,-91773.36,,,,
02/02/2022,40496184592,CASH ALTERNATIVES PURCHASE (MMDA1),91773.36,MMDA1,,,0.00,,,,
02/02/2022,40504330326,Sold 1 GLD Mar 18 2022 174.0 Call @ 1.21,1,GLD Mar 18 2022 174.0 Call,1.21,0.65,120.34,0.01,,,
02/02/2022,40510279836,Bought 1 TSLA Feb 4 2022 1020.0 Call @ 0.57,1,TSLA Feb 4 2022 1020.0 Call,0.57,0.65,-57.66,0.01,,,
02/02/2022,40510295855,Bought 2 TSLA Feb 4 2022 1035.0 Call @ 0.4,2,TSLA Feb 4 2022 1035.0 Call,0.40,1.30,-81.32,0.02,,,
02/02/2022,40510318191,Sold 2 TSLA Feb 11 2022 1000.0 Call @ 8.3,2,TSLA Feb 11 2022 1000.0 Call,8.30,1.30,1658.67,0.03,,,
02/02/2022,40510337622,Sold 1 TSLA Feb 18 2022 1010.0 Call @ 13.85,1,TSLA Feb 18 2022 1010.0 Call,13.85,0.65,1384.33,0.02,,,
02/03/2022,40517984981,CASH ALTERNATIVES PURCHASE (MMDA1),3024.36,MMDA1,,,0.00,,,,
02/03/2022,40517984977,CASH ALTERNATIVES PURCHASE,,,,,-3024.36,,,,
02/08/2022,40627288871,Sold 2 TSLA Feb 18 2022 1000.0 Call @ 9.99,2,TSLA Feb 18 2022 1000.0 Call,9.99,1.30,1996.67,0.03,,,
02/08/2022,40627291503,Bought 2 TSLA Feb 11 2022 1000.0 Call @ 2.05,2,TSLA Feb 11 2022 1000.0 Call,2.05,1.30,-411.32,0.02,,,
02/08/2022,40627753170,Sold 10 KMI Mar 18 2022 18.0 Call @ 0.23,10,KMI Mar 18 2022 18.0 Call,0.23,6.50,223.38,0.12,,,
02/09/2022,40636030262,CASH ALTERNATIVES PURCHASE (MMDA1),1808.73,MMDA1,,,0.00,,,,
02/09/2022,40636030260,CASH ALTERNATIVES PURCHASE,,,,,-1808.73,,,,
02/11/2022,40710520451,Sold 1 TSLA Feb 25 2022 1000.0 Call @ 7.96,1,TSLA Feb 25 2022 1000.0 Call,7.96,0.65,795.34,0.01,,,
02/11/2022,40710539318,Bought 1 TSLA Feb 18 2022 1010.0 Call @ 2.51,1,TSLA Feb 18 2022 1010.0 Call,2.51,0.65,-251.66,0.01,,,
02/11/2022,40711119237,Sold 1 TSLA Mar 18 2022 820.0 Put @ 32.45,1,TSLA Mar 18 2022 820.0 Put,32.45,0.65,3244.32,0.03,,,
02/11/2022,40716434980,Bought 2 TSLA Feb 18 2022 1000.0 Call @ 1.59,2,TSLA Feb 18 2022 1000.0 Call,1.59,1.30,-319.32,0.02,,,
02/14/2022,40733855409,CASH ALTERNATIVES REDEMPTION (MMDA1),78531.32,MMDA1,,,0.00,,,,
02/14/2022,40733855406,CASH ALTERNATIVES REDEMPTION,,,,,78531.32,,,,
02/15/2022,40752535997,QUALIFIED DIVIDEND (KMI),,KMI,,,270.00,,,,
02/16/2022,40780198911,CASH ALTERNATIVES PURCHASE (MMDA1),270,MMDA1,,,0.00,,,,
02/16/2022,40780198905,CASH ALTERNATIVES PURCHASE,,,,,-270.00,,,,
02/18/2022,40845654916,Bought 1 TSLA Feb 25 2022 1000.0 Call @ 0.74,1,TSLA Feb 25 2022 1000.0 Call,0.74,0.65,-74.66,0.01,,,
02/18/2022,40845666795,Sold 2 TSLA Mar 4 2022 940.0 Call @ 10.6,2,TSLA Mar 4 2022 940.0 Call,10.60,1.30,2118.67,0.03,,,
02/22/2022,40864540561,CASH ALTERNATIVES PURCHASE (MMDA1),2044.01,MMDA1,,,0.00,,,,
02/22/2022,40864540557,CASH ALTERNATIVES PURCHASE,,,,,-2044.01,,,,
02/23/2022,40898947745,Bought 10 KMI Mar 18 2022 18.0 Call @ 0.07,10,KMI Mar 18 2022 18.0 Call,0.07,6.50,-76.60,0.10,,,
02/23/2022,40898964395,Sold 2 TSLA Mar 11 2022 940.0 Call @ 3.75,2,TSLA Mar 11 2022 940.0 Call,3.75,1.30,748.68,0.02,,,
02/23/2022,40898964474,Bought 2 TSLA Mar 4 2022 940.0 Call @ 1.34,2,TSLA Mar 4 2022 940.0 Call,1.34,1.30,-269.32,0.02,,,
02/23/2022,40898984968,Sold 1 GLD Jan 20 2023 171.0 Call @ 15.37,1,GLD Jan 20 2023 171.0 Call,15.37,0.65,1536.33,0.02,,,
02/23/2022,40898985912,Bought 1 GLD Mar 18 2022 174.0 Call @ 5.4,1,GLD Mar 18 2022 174.0 Call,5.40,0.65,-540.66,0.01,,,
02/24/2022,40908887836,CASH ALTERNATIVES PURCHASE (MMDA1),1398.43,MMDA1,,,0.00,,,,
02/24/2022,40908887826,CASH ALTERNATIVES PURCHASE,,,,,-1398.43,,,,
02/28/2022,40989976801,Bought 10 VIX Apr 20 2022 16.0 Put @ 0.05,10,VIX Apr 20 2022 16.0 Put,0.05,6.50,-57.10,0.10,,,
02/28/2022,41007818762,CASH ALTERNATIVES INTEREST (MMDA1),0.57,MMDA1,,,0.00,,,,
02/28/2022,41015438831,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.36,,,,
03/01/2022,41046407983,Sold 1 HD Apr 1 2022 300.0 Put @ 5.85,1,HD Apr 1 2022 300.0 Put,5.85,0.65,584.34,0.01,,,
03/01/2022,41046422541,Bought 1 HD Apr 1 2022 290.0 Put @ 3.88,1,HD Apr 1 2022 290.0 Put,3.88,0.65,-388.66,0.01,,,
03/02/2022,41070468678,CASH ALTERNATIVES REDEMPTION,,,,,861.06,,,,
03/02/2022,41070468693,CASH ALTERNATIVES REDEMPTION (MMDA1),861.06,MMDA1,,,0.00,,,,
03/03/2022,41109581419,Sold 10 KMI Apr 1 2022 18.5 Call @ 0.52,10,KMI Apr 1 2022 18.5 Call,0.52,6.50,513.38,0.12,,,
03/04/2022,41121510007,CASH ALTERNATIVES PURCHASE (MMDA1),513.38,MMDA1,,,0.00,,,,
03/04/2022,41121509981,CASH ALTERNATIVES PURCHASE,,,,,-513.38,,,,
03/08/2022,41203267926,Sold 1 USO Mar 18 2022 79.0 Put @ 2.44,1,USO Mar 18 2022 79.0 Put,2.44,0.65,243.34,0.01,,,
03/08/2022,41203269938,Bought 1 USO Mar 18 2022 75.0 Put @ 1.19,1,USO Mar 18 2022 75.0 Put,1.19,0.65,-119.66,0.01,,,
03/08/2022,41203409304,Sold 2 TSLA Mar 18 2022 910.0 Call @ 5.35,2,TSLA Mar 18 2022 910.0 Call,5.35,1.30,1068.67,0.03,,,
03/08/2022,41203412304,Bought 2 TSLA Mar 11 2022 940.0 Call @ 0.37,2,TSLA Mar 11 2022 940.0 Call,0.37,1.30,-75.32,0.02,,,
03/09/2022,41219532581,CASH ALTERNATIVES PURCHASE,,,,,-717.03,,,,
03/09/2022,41219532587,CASH ALTERNATIVES PURCHASE (MMDA1),717.03,MMDA1,,,0.00,,,,
03/14/2022,41325766858,Bought 1 USO Mar 18 2022 79.0 Put @ 7.8,1,USO Mar 18 2022 79.0 Put,7.80,0.65,-780.66,0.01,,,
03/15/2022,41346544659,CASH ALTERNATIVES REDEMPTION,,,,,380.66,,,,
03/15/2022,41346544660,CASH ALTERNATIVES REDEMPTION (MMDA1),380.66,MMDA1,,,0.00,,,,
03/15/2022,41361088855,Sold 1 USO Mar 18 2022 75.0 Put @ 6.5,1,USO Mar 18 2022 75.0 Put,6.50,0.65,649.34,0.01,,,
03/15/2022,41361095284,Bought 1 HD Apr 1 2022 300.0 Put @ 1.84,1,HD Apr 1 2022 300.0 Put,1.84,0.65,-184.66,0.01,,,
03/15/2022,41361095408,Sold 1 HD Apr 1 2022 290.0 Put @ 1.11,1,HD Apr 1 2022 290.0 Put,1.11,0.65,110.34,0.01,,,
03/15/2022,41361226212,Bought 2 TSLA Mar 18 2022 910.0 Call @ 0.43,2,TSLA Mar 18 2022 910.0 Call,0.43,1.30,-87.32,0.02,,,
03/15/2022,41362593817,Bought 10 KMI Apr 1 2022 18.5 Call @ 0.12,10,KMI Apr 1 2022 18.5 Call,0.12,6.50,-126.60,0.10,,,
03/16/2022,41368468987,CASH ALTERNATIVES PURCHASE (MMDA1),1361.1,MMDA1,,,0.00,,,,
03/16/2022,41368468977,CASH ALTERNATIVES PURCHASE,,,,,-1361.10,,,,
03/16/2022,41382942973,Sold 1 TSLA Mar 18 2022 850.0 Call @ 7,1,TSLA Mar 18 2022 850.0 Call,7.00,0.65,699.34,0.01,,,
03/16/2022,41382874871,Bought 1 TSLA Mar 18 2022 850.0 Call @ 7,1,TSLA Mar 18 2022 850.0 Call,7.00,0.65,-700.66,0.01,,,
03/16/2022,41382915031,Sold 1 TSLA Mar 25 2022 820.0 Put @ 29.48,1,TSLA Mar 25 2022 820.0 Put,29.48,0.65,2947.32,0.03,,,
03/16/2022,41382916121,Bought 1 TSLA Mar 18 2022 820.0 Put @ 16.43,1,TSLA Mar 18 2022 820.0 Put,16.43,0.65,-1643.66,0.01,,,
03/17/2022,41396022459,CASH ALTERNATIVES PURCHASE (MMDA1),1302.34,MMDA1,,,0.00,,,,
03/17/2022,41396022449,CASH ALTERNATIVES PURCHASE,,,,,-1302.34,,,,
03/17/2022,41416928648,Bought 1 TSLA Mar 25 2022 820.0 Put @ 11.5,1,TSLA Mar 25 2022 820.0 Put,11.50,0.65,-1150.66,0.01,,,
03/18/2022,41422501387,CASH ALTERNATIVES PURCHASE (MMDA1),80849.34,MMDA1,,,0.00,,,,
03/18/2022,41422501385,CASH ALTERNATIVES PURCHASE,,,,,-80849.34,,,,
03/18/2022,41436914069,Sold 1 TSLA Apr 1 2022 950.0 Call @ 15.8,1,TSLA Apr 1 2022 950.0 Call,15.80,0.65,1579.33,0.02,,,
03/18/2022,41437028966,Sold 2 TSLA Apr 1 2022 1000.0 Call @ 6.4,2,TSLA Apr 1 2022 1000.0 Call,6.40,1.30,1278.67,0.03,,,
03/18/2022,41436967555,Sold 1 TSLA Apr 1 2022 830.0 Put @ 15.8,1,TSLA Apr 1 2022 830.0 Put,15.80,0.65,1579.33,0.02,,,
03/21/2022,41458234488,CASH ALTERNATIVES REDEMPTION (MMDA1),78562.67,MMDA1,,,0.00,,,,
03/21/2022,41458234479,CASH ALTERNATIVES REDEMPTION,,,,,78562.67,,,,
03/22/2022,41493374773,Bought 1 TSLA Apr 1 2022 830.0 Put @ 4.9,1,TSLA Apr 1 2022 830.0 Put,4.90,0.65,-490.66,0.01,,,
03/22/2022,41493570952,Sold 1 TSLA Apr 8 2022 895.0 Put @ 27.45,1,TSLA Apr 8 2022 895.0 Put,27.45,0.65,2744.33,0.02,,,
03/23/2022,41502149544,CASH ALTERNATIVES REDEMPTION,,,,,4246.33,,,,
03/23/2022,41502149545,CASH ALTERNATIVES REDEMPTION (MMDA1),4246.33,MMDA1,,,0.00,,,,
03/23/2022,41520906456,Sold 10 CHPT Mar 25 2022 17.5 Put @ 0.1,10,CHPT Mar 25 2022 17.5 Put,0.10,6.50,93.38,0.12,,,
03/24/2022,41531780270,CASH ALTERNATIVES REDEMPTION (MMDA1),17406.62,MMDA1,,,0.00,,,,
03/24/2022,41531780261,CASH ALTERNATIVES REDEMPTION,,,,,17406.62,,,,
03/24/2022,41556853728,Bought 1 TSLA Apr 8 2022 895.0 Put @ 11.87,1,TSLA Apr 8 2022 895.0 Put,11.87,0.65,-1187.66,0.01,,,
03/24/2022,41557079765,Sold 2 TSLA Apr 22 2022 1010.0 Call @ 63.67,2,TSLA Apr 22 2022 1010.0 Call,63.67,1.30,12732.62,0.08,,,
03/24/2022,41557079848,Bought 2 TSLA Apr 1 2022 1000.0 Call @ 38.78,2,TSLA Apr 1 2022 1000.0 Call,38.78,1.30,-7757.32,0.02,,,
03/24/2022,41559921520,Sold 1 TSLA Apr 22 2022 995.0 Call @ 69.84,1,TSLA Apr 22 2022 995.0 Call,69.84,0.65,6983.30,0.05,,,
03/24/2022,41559921570,Bought 1 TSLA Apr 1 2022 950.0 Call @ 68.42,1,TSLA Apr 1 2022 950.0 Call,68.42,0.65,-6842.66,0.01,,,
03/24/2022,41560840824,Sold 1 TSLA Apr 14 2022 935.0 Put @ 24.9,1,TSLA Apr 14 2022 935.0 Put,24.90,0.65,2489.33,0.02,,,
03/24/2022,41560835238,Sold 10 KMI Apr 14 2022 18.5 Call @ 0.31,10,KMI Apr 14 2022 18.5 Call,0.31,6.50,303.38,0.12,,,
03/25/2022,41567353265,CASH ALTERNATIVES PURCHASE (MMDA1),2720.99,MMDA1,,,0.00,,,,
03/25/2022,41567353257,CASH ALTERNATIVES PURCHASE,,,,,-2720.99,,,,
03/28/2022,41613098985,CASH ALTERNATIVES PURCHASE (MMDA1),17500,MMDA1,,,0.00,,,,
03/28/2022,41610702124,REMOVAL OF OPTION DUE TO EXPIRATION (0CHPT.OP20017500),10,,,,0.00,,,,
03/28/2022,41613098969,CASH ALTERNATIVES PURCHASE,,,,,-17500.00,,,,
03/28/2022,41631041675,Bought 1 TSLA Apr 14 2022 935.0 Put @ 10,1,TSLA Apr 14 2022 935.0 Put,10.00,0.65,-1000.66,0.01,,,
03/29/2022,41640351333,CASH ALTERNATIVES PURCHASE (MMDA1),92499.34,MMDA1,,,0.00,,,,
03/29/2022,41640351313,CASH ALTERNATIVES PURCHASE,,,,,-92499.34,,,,
03/31/2022,41759424362,CASH ALTERNATIVES INTEREST (MMDA1),0.51,MMDA1,,,0.00,,,,
03/31/2022,41769654836,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.60,,,,
04/01/2022,41780270594,CASH ALTERNATIVES PURCHASE,,,,,-0.60,,,,
04/01/2022,41780270609,CASH ALTERNATIVES PURCHASE (MMDA1),0.6,MMDA1,,,0.00,,,,
04/04/2022,41834493647,Sold 1 TSLA Apr 8 2022 1060.0 Put @ 11.2,1,TSLA Apr 8 2022 1060.0 Put,11.20,0.65,1119.33,0.02,,,
04/04/2022,41839480356,Bought 1 TSLA Apr 8 2022 1060.0 Put @ 5,1,TSLA Apr 8 2022 1060.0 Put,5.00,0.65,-500.66,0.01,,,
04/04/2022,41840441291,Bought 10 KMI Apr 14 2022 18.5 Call @ 0.86,10,KMI Apr 14 2022 18.5 Call,0.86,6.50,-866.60,0.10,,,
04/04/2022,41840441493,Sold 1000 KMI @ 19.27,1000,KMI,19.27,0.00,19269.77,0.23,,,
04/05/2022,41846464302,CASH ALTERNATIVES REDEMPTION (MMDA1),247.93,MMDA1,,,0.00,,,,
04/05/2022,41846464297,CASH ALTERNATIVES REDEMPTION,,,,,247.93,,,,
04/05/2022,41860781188,Sold 1 TSLA Apr 14 2022 1050.0 Put @ 9.55,1,TSLA Apr 14 2022 1050.0 Put,9.55,0.65,954.34,0.01,,,
04/06/2022,41876074732,CASH ALTERNATIVES REDEMPTION (MMDA1),84775.89,MMDA1,,,0.00,,,,
04/06/2022,41876074707,CASH ALTERNATIVES REDEMPTION,,,,,84775.89,,,,
04/08/2022,41963871756,Bought 2 TSLA Apr 22 2022 1010.0 Call @ 63.55,2,TSLA Apr 22 2022 1010.0 Call,63.55,1.30,-12711.32,0.02,,,
04/11/2022,41980902109,CASH ALTERNATIVES REDEMPTION (MMDA1),12711.32,MMDA1,,,0.00,,,,
04/11/2022,41980902106,CASH ALTERNATIVES REDEMPTION,,,,,12711.32,,,,
04/18/2022,42086425149,Bought 100 TSLA @ 1050,100,TSLA,1050.00,0.00,-105000.00,,,,
04/18/2022,42086525599,Removal of Option due to assignment 1.0 TSLA 100 14 Apr 2022 1050.0 PUT (TSLA_041422P1050),1,TSLA_041422P1050,0.00,,0.00,,,,
***END OF FILE***
